Word	Definition	Part of speech	Category	Example sentence	Notes
kebun	flower garden, vegetable garden	noun	home		
kecap	soy sauce	noun	food		
kecil	small	adjective			
kedang	extension	noun			
kedapatan	to be found out, discovered	adjective			
kedinginan	too cold	adjective			
keduanya	both	adjective			
keinginan	wish, desire	verb			
kejar	chase	verb			
keju	cheese	noun	food		
kekeringan	drought	noun	weather		
kelelawar	bat	noun	animals		
kelihatan	looks	noun			
keluarja	family	noun	family		
keluarkan	remove	verb			
kemarin	yesterday	noun	time		
kembali	refund	noun	money	Uang tidak kembali	
kembalian	change (money)	verb	money		
kembang	flowers	noun	plants		
kemping	camping	verb	travel		
kemudian	then/ subsequently	conjunction			
kemunkinan	possibility	noun			
kenal	know	verb	social	Saya kenal kamu	Only for a perpson
kenalan	acquaintance	noun	social		
kenalkan	an introduction	noun	social		
kenapa	why	adverb			
kendaraan	vehicle	noun	travel		
kentang	potato	noun	food		
kepada	to	conjunction			To a person only
kepala	head	noun	body		
kepanasan	too hot	adjective			
keputusan	descision	noun			
keputusanyna	the decision	noun	social		
keras	hard	adjective			
kerbanyakan	most	adjective			
kerena	because	conjunction	grammar		
kereta api	train	noun	travel		
kering	dry weather	noun	weather		
keringat	sweat	noun	weather		
kerja	work	verb	business		
kertamu	paper	noun	business		
kesakitan	in pain	noun	health		
kesalahan	error	noun	jacl		
kesukaan	favourite	adjective			
keterang	describe	verb			
keterangan	information	noun			
ketidakadilan	injustice	noun	social		
ketik	type	verb	business		
ketika	when (conjunction)				
ketinggalan	left behind		travel		
keuangan	finance	noun	business		
khawatir	worried	adjective	social		
khusus	special	adjective			
kini	now	noun	time		
kira	reckon, think				
kira-kira	approximately/ about.				
kiranya	perhaps	adverb			
kiri	left	adjective	travel		
kirim	deliver, send	verb			
kita	we (all of us here)	pronoun			
kolega	colleague	noun	business		
komel	cute	adjective	social		
kompleks	complex	adjective			
kompor	stove	noun	kitchen		
konco	friend	noun			
koneksi	connection	noun			
konser	consert	noun	music		
kontak	contact	noun			
kontrak	contract	noun	business		
koran	newspaper	noun			
kosong	empty	adjective			
kota	city	noun	travel		
kotor	dirty	adjective			
kuat	strong	adjective			
kuburan	graveyard	noun			
kucing	cat	noun	animals		
kuda	horse	noun	animals		
kuku	nail	noun	body		
kulit	skin	noun	body		
kuma	you youngster	pronoun			
kumis kucing	cat's whikers	noun	animals		
kumpul	gather	verb	social		
kuning	yellow	adjective			
